Date,daily_return,equity,peak,drawdown,trading_cost
2025-01-11,7.559127826919645e-05,12701.001887820086,13248.266765998482,-0.04130841323205725,7.500000000000002e-05
2025-01-12,-5.129264835964653e-05,12700.35041979644,13248.266765998482,-0.04135758706250259,0.0
2025-01-13,-0.0035831861060036108,12654.842700630848,13248.266765998482,-0.04479258123716601,0.00015000000000000001
2025-01-14,0.0037059057307117773,12701.740354716374,13248.266765998482,-0.04125267258995424,0.00019367068114605843
2025-01-15,0.020336304673814806,12960.046816457574,13248.266765998482,-0.021755294834537975,0.0001513293188539416
2025-01-16,-0.002482815166983507,12927.869415656856,13248.266765998482,-0.024184095625544133,0.0
2025-01-17,0.01694878702244635,13146.981121036823,13248.266765998482,-0.007645199689185533,0.0
2025-01-18,-0.0023710189610033623,13115.809379518892,13248.266765998482,-0.009998091736765136,0.0
2025-01-19,-0.004720482615214044,13053.896429358412,13248.266765998482,-0.014671378533750445,0.0
2025-01-20,-0.003801012828144043,13004.278401573158,13248.266765998482,-0.018416625263881103,7.500000000000002e-05
2025-01-21,0.004793443376367621,13066.613673741618,13248.266765998482,-0.013711460937899766,0.0002568932038834952
2025-01-22,0.008215668493075553,13173.964640012167,13248.266765998482,-0.005608441262445751,0.00011563106796116513
2025-01-23,-0.0014089823058168294,13155.402756936934,13248.266765998482,-0.007009521373760541,0.0
2025-01-24,-0.008852134097097758,13038.949367631198,13248.266765998482,-0.01579960624770138,0.00012
2025-01-25,-0.00013605605431303848,13037.175339627851,13248.266765998482,-0.015933512669928596,0.0
2025-01-26,-0.0017413510636880903,13014.4730404827,13248.266765998482,-0.01764711789438067,0.0
2025-01-27,-0.03021079952259124,12621.29540456451,13248.266765998482,-0.047324783876113274,0.000375
2025-01-28,0.006283400775775814,12700.600061900845,13248.266765998482,-0.0413387436840581,0.000525
2025-01-29,8.45028674227478e-05,12701.673299024065,13248.266765998482,-0.04125773405901234,0.00015000000000000001
2025-01-30,-0.00390371259592463,12652.089616977346,13248.266765998482,-0.04500038831881148,0.0004500000000000001
2025-01-31,0.00016579422510277207,12654.187260371324,13248.266765998482,-0.04484205489821924,0.0004500000000000001
